1612	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
1444	<http://www.w3.org/2000/01/rdf-schema#label>
835	<http://xmlns.com/foaf/0.1/name>
828	<http://xmlns.com/foaf/0.1/based_near>
622	<http://xmlns.com/foaf/0.1/firstName>
621	<http://xmlns.com/foaf/0.1/family_name>
616	<http://swrc.ontoware.org/ontology#affiliation>
615	<http://xmlns.com/foaf/0.1/member>
613	<http://xmlns.com/foaf/0.1/status>
584	<http://xmlns.com/foaf/0.1/mbox_sha1sum>
570	<http://xmlns.com/foaf/0.1/homepage>
451	<http://xmlns.com/foaf/0.1/maker>
451	<http://purl.org/dc/elements/1.1/creator>
435	<http://xmlns.com/foaf/0.1/made>
420	<http://data.semanticweb.org/ns/swc/ontology#heldBy>
419	<http://data.semanticweb.org/ns/swc/ontology#holdsRole>
275	<http://purl.org/dc/elements/1.1/subject>
213	<http://www.w3.org/2003/01/geo/wgs84_pos#long>
213	<http://www.w3.org/2003/01/geo/wgs84_pos#lat>
208	<http://data.semanticweb.org/ns/swc/ontology#isSuperEventOf>
208	<http://data.semanticweb.org/ns/swc/ontology#isSubEventOf>
182	<http://www.w3.org/1999/02/22-rdf-syntax-ns#_1>
166	<http://www.w3.org/2002/12/cal/ical#dtstart>
166	<http://www.w3.org/2002/12/cal/ical#dtend>
155	<http://purl.org/dc/elements/1.1/title>
154	<http://data.semanticweb.org/ns/swc/ontology#isPartOf>
150	<http://swrc.ontoware.org/ontology#year>
150	<http://swrc.ontoware.org/ontology#month>
147	<http://swrc.ontoware.org/ontology#url>
147	<http://swrc.ontoware.org/ontology#abstract>
147	<http://purl.org/ontology/bibo/authorList>
146	<http://www.w3.org/1999/02/22-rdf-syntax-ns#_2>
146	<http://data.semanticweb.org/ns/swc/ontology#hasPart>
105	<http://www.w3.org/1999/02/22-rdf-syntax-ns#_3>
96	<http://data.semanticweb.org/ns/swc/ontology#hasRelatedDocument>
69	<http://www.w3.org/2002/12/cal/ical#tzid>
69	<http://www.w3.org/2002/12/cal/ical#dateTime>
66	<http://www.w3.org/1999/02/22-rdf-syntax-ns#_4>
57	<http://www.w3.org/2002/12/cal/ical#summary>
57	<http://data.semanticweb.org/ns/swc/ontology#hasLocation>
46	<http://data.semanticweb.org/ns/swc/ontology#isRoleAt>
46	<http://data.semanticweb.org/ns/swc/ontology#hasRole>
28	<http://data.semanticweb.org/ns/swc/ontology#paperList>
27	<http://www.w3.org/1999/02/22-rdf-syntax-ns#_5>
22	<http://www.w3.org/2002/12/cal/ical#url>
14	<http://data.semanticweb.org/ns/swc/ontology#hasAcronym>
11	<http://data.semanticweb.org/ns/swc/ontology#isProvidedBy>
10	<http://data.semanticweb.org/ns/swc/ontology#hasSponsorship>
9	<http://www.w3.org/1999/02/22-rdf-syntax-ns#_6>
7	<http://swrc.ontoware.org/ontology#editor>
5	<http://www.w3.org/1999/02/22-rdf-syntax-ns#_7>
3	<http://swrc.ontoware.org/ontology#booktitle>
3	<http://data.semanticweb.org/ns/swc/ontology#editorList>
2	<http://www.w3.org/2000/01/rdf-schema#comment>
2	<http://www.w3.org/1999/02/22-rdf-syntax-ns#_8>
2	<http://data.semanticweb.org/ns/swc/ontology#relatedToEvent>
1	<http://www.w3.org/2002/07/owl#sameAs>
1	<http://www.w3.org/2000/01/rdf-schema#seeAlso>
1	<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>
1	<http://data.semanticweb.org/ns/swc/ontology#hasLogo>
1	<http://data.semanticweb.org/ns/swc/ontology#completeGraph>
